,MA_SLOW,MA_FAST,MA_SIGNAL,Multiple,Sharpe
0,1,1,1,-1.0,9999.0
1,1,1,2,-1.0,9999.0
2,1,1,3,-1.0,9999.0
3,1,1,4,-1.0,9999.0
4,1,1,5,-1.0,9999.0
5,1,1,6,-1.0,9999.0
6,1,1,7,-1.0,9999.0
7,1,1,8,-1.0,9999.0
8,1,1,9,-1.0,9999.0
9,1,2,1,-1.0,9999.0
10,1,2,2,-1.0,9999.0
11,1,2,3,-1.0,9999.0
12,1,2,4,-1.0,9999.0
13,1,2,5,-1.0,9999.0
14,1,2,6,-1.0,9999.0
15,1,2,7,-1.0,9999.0
16,1,2,8,-1.0,9999.0
17,1,2,9,-1.0,9999.0
18,1,3,1,-1.0,9999.0
19,1,3,2,-1.0,9999.0
20,1,3,3,-1.0,9999.0
21,1,3,4,-1.0,9999.0
22,1,3,5,-1.0,9999.0
23,1,3,6,-1.0,9999.0
24,1,3,7,-1.0,9999.0
25,1,3,8,-1.0,9999.0
26,1,3,9,-1.0,9999.0
27,1,4,1,-1.0,9999.0
28,1,4,2,-1.0,9999.0
29,1,4,3,-1.0,9999.0
30,1,4,4,-1.0,9999.0
31,1,4,5,-1.0,9999.0
32,1,4,6,-1.0,9999.0
33,1,4,7,-1.0,9999.0
34,1,4,8,-1.0,9999.0
35,1,4,9,-1.0,9999.0
36,1,5,1,-1.0,9999.0
37,1,5,2,-1.0,9999.0
38,1,5,3,-1.0,9999.0
39,1,5,4,-1.0,9999.0
40,1,5,5,-1.0,9999.0
41,1,5,6,-1.0,9999.0
42,1,5,7,-1.0,9999.0
43,1,5,8,-1.0,9999.0
44,1,5,9,-1.0,9999.0
45,1,6,1,-1.0,9999.0
46,1,6,2,-1.0,9999.0
47,1,6,3,-1.0,9999.0
48,1,6,4,-1.0,9999.0
49,1,6,5,-1.0,9999.0
50,1,6,6,-1.0,9999.0
51,1,6,7,-1.0,9999.0
52,1,6,8,-1.0,9999.0
53,1,6,9,-1.0,9999.0
54,1,7,1,-1.0,9999.0
55,1,7,2,-1.0,9999.0
56,1,7,3,-1.0,9999.0
57,1,7,4,-1.0,9999.0
58,1,7,5,-1.0,9999.0
59,1,7,6,-1.0,9999.0
60,1,7,7,-1.0,9999.0
61,1,7,8,-1.0,9999.0
62,1,7,9,-1.0,9999.0
63,1,8,1,-1.0,9999.0
64,1,8,2,-1.0,9999.0
65,1,8,3,-1.0,9999.0
66,1,8,4,-1.0,9999.0
67,1,8,5,-1.0,9999.0
68,1,8,6,-1.0,9999.0
69,1,8,7,-1.0,9999.0
70,1,8,8,-1.0,9999.0
71,1,8,9,-1.0,9999.0
72,1,9,1,-1.0,9999.0
73,1,9,2,-1.0,9999.0
74,1,9,3,-1.0,9999.0
75,1,9,4,-1.0,9999.0
76,1,9,5,-1.0,9999.0
77,1,9,6,-1.0,9999.0
78,1,9,7,-1.0,9999.0
79,1,9,8,-1.0,9999.0
80,1,9,9,-1.0,9999.0
81,1,10,1,-1.0,9999.0
82,1,10,2,-1.0,9999.0
83,1,10,3,-1.0,9999.0
84,1,10,4,-1.0,9999.0
85,1,10,5,-1.0,9999.0
86,1,10,6,-1.0,9999.0
87,1,10,7,-1.0,9999.0
88,1,10,8,-1.0,9999.0
89,1,10,9,-1.0,9999.0
90,1,11,1,-1.0,9999.0
91,1,11,2,-1.0,9999.0
92,1,11,3,-1.0,9999.0
93,1,11,4,-1.0,9999.0
94,1,11,5,-1.0,9999.0
95,1,11,6,-1.0,9999.0
96,1,11,7,-1.0,9999.0
97,1,11,8,-1.0,9999.0
98,1,11,9,-1.0,9999.0
99,1,12,1,-1.0,9999.0
100,1,12,2,-1.0,9999.0
101,1,12,3,-1.0,9999.0
102,1,12,4,-1.0,9999.0
103,1,12,5,-1.0,9999.0
104,1,12,6,-1.0,9999.0
105,1,12,7,-1.0,9999.0
106,1,12,8,-1.0,9999.0
107,1,12,9,-1.0,9999.0
108,1,13,1,-1.0,9999.0
109,1,13,2,-1.0,9999.0
110,1,13,3,-1.0,9999.0
111,1,13,4,-1.0,9999.0
112,1,13,5,-1.0,9999.0
113,1,13,6,-1.0,9999.0
114,1,13,7,-1.0,9999.0
115,1,13,8,-1.0,9999.0
116,1,13,9,-1.0,9999.0
117,1,14,1,-1.0,9999.0
118,1,14,2,-1.0,9999.0
119,1,14,3,-1.0,9999.0
120,1,14,4,-1.0,9999.0
121,1,14,5,-1.0,9999.0
122,1,14,6,-1.0,9999.0
123,1,14,7,-1.0,9999.0
124,1,14,8,-1.0,9999.0
125,1,14,9,-1.0,9999.0
126,1,15,1,-1.0,9999.0
127,1,15,2,-1.0,9999.0
128,1,15,3,-1.0,9999.0
129,1,15,4,-1.0,9999.0
130,1,15,5,-1.0,9999.0
131,1,15,6,-1.0,9999.0
132,1,15,7,-1.0,9999.0
133,1,15,8,-1.0,9999.0
134,1,15,9,-1.0,9999.0
135,1,16,1,-1.0,9999.0
136,1,16,2,-1.0,9999.0
137,1,16,3,-1.0,9999.0
138,1,16,4,-1.0,9999.0
139,1,16,5,-1.0,9999.0
140,1,16,6,-1.0,9999.0
141,1,16,7,-1.0,9999.0
142,1,16,8,-1.0,9999.0
143,1,16,9,-1.0,9999.0
144,1,17,1,-1.0,9999.0
145,1,17,2,-1.0,9999.0
146,1,17,3,-1.0,9999.0
147,1,17,4,-1.0,9999.0
148,1,17,5,-1.0,9999.0
149,1,17,6,-1.0,9999.0
150,1,17,7,-1.0,9999.0
151,1,17,8,-1.0,9999.0
152,1,17,9,-1.0,9999.0
153,1,18,1,-1.0,9999.0
154,1,18,2,-1.0,9999.0
155,1,18,3,-1.0,9999.0
156,1,18,4,-1.0,9999.0
157,1,18,5,-1.0,9999.0
158,1,18,6,-1.0,9999.0
159,1,18,7,-1.0,9999.0
160,1,18,8,-1.0,9999.0
161,1,18,9,-1.0,9999.0
162,1,19,1,-1.0,9999.0
163,1,19,2,-1.0,9999.0
164,1,19,3,-1.0,9999.0
165,1,19,4,-1.0,9999.0
166,1,19,5,-1.0,9999.0
167,1,19,6,-1.0,9999.0
168,1,19,7,-1.0,9999.0
169,1,19,8,-1.0,9999.0
170,1,19,9,-1.0,9999.0
171,1,20,1,-1.0,9999.0
172,1,20,2,-1.0,9999.0
173,1,20,3,-1.0,9999.0
174,1,20,4,-1.0,9999.0
175,1,20,5,-1.0,9999.0
176,1,20,6,-1.0,9999.0
177,1,20,7,-1.0,9999.0
178,1,20,8,-1.0,9999.0
179,1,20,9,-1.0,9999.0
180,1,21,1,-1.0,9999.0
181,1,21,2,-1.0,9999.0
182,1,21,3,-1.0,9999.0
183,1,21,4,-1.0,9999.0
184,1,21,5,-1.0,9999.0
185,1,21,6,-1.0,9999.0
186,1,21,7,-1.0,9999.0
187,1,21,8,-1.0,9999.0
188,1,21,9,-1.0,9999.0
189,1,22,1,-1.0,9999.0
190,1,22,2,-1.0,9999.0
191,1,22,3,-1.0,9999.0
192,1,22,4,-1.0,9999.0
193,1,22,5,-1.0,9999.0
194,1,22,6,-1.0,9999.0
195,1,22,7,-1.0,9999.0
196,1,22,8,-1.0,9999.0
197,1,22,9,-1.0,9999.0
198,1,23,1,-1.0,9999.0
199,1,23,2,-1.0,9999.0
200,1,23,3,-1.0,9999.0
201,1,23,4,-1.0,9999.0
202,1,23,5,-1.0,9999.0
203,1,23,6,-1.0,9999.0
204,1,23,7,-1.0,9999.0
205,1,23,8,-1.0,9999.0
206,1,23,9,-1.0,9999.0
207,1,24,1,-1.0,9999.0
208,1,24,2,-1.0,9999.0
209,1,24,3,-1.0,9999.0
210,1,24,4,-1.0,9999.0
211,1,24,5,-1.0,9999.0
212,1,24,6,-1.0,9999.0
213,1,24,7,-1.0,9999.0
214,1,24,8,-1.0,9999.0
215,1,24,9,-1.0,9999.0
216,1,25,1,-1.0,9999.0
217,1,25,2,-1.0,9999.0
218,1,25,3,-1.0,9999.0
219,1,25,4,-1.0,9999.0
220,1,25,5,-1.0,9999.0
221,1,25,6,-1.0,9999.0
222,1,25,7,-1.0,9999.0
223,1,25,8,-1.0,9999.0
224,1,25,9,-1.0,9999.0
225,1,26,1,-1.0,9999.0
226,1,26,2,-1.0,9999.0
227,1,26,3,-1.0,9999.0
228,1,26,4,-1.0,9999.0
229,1,26,5,-1.0,9999.0
230,1,26,6,-1.0,9999.0
231,1,26,7,-1.0,9999.0
232,1,26,8,-1.0,9999.0
233,1,26,9,-1.0,9999.0
234,1,27,1,-1.0,9999.0
235,1,27,2,-1.0,9999.0
236,1,27,3,-1.0,9999.0
237,1,27,4,-1.0,9999.0
238,1,27,5,-1.0,9999.0
239,1,27,6,-1.0,9999.0
240,1,27,7,-1.0,9999.0
241,1,27,8,-1.0,9999.0
242,1,27,9,-1.0,9999.0
243,1,28,1,-1.0,9999.0
244,1,28,2,-1.0,9999.0
245,1,28,3,-1.0,9999.0
246,1,28,4,-1.0,9999.0
247,1,28,5,-1.0,9999.0
248,1,28,6,-1.0,9999.0
249,1,28,7,-1.0,9999.0
250,1,28,8,-1.0,9999.0
251,1,28,9,-1.0,9999.0
252,1,29,1,-1.0,9999.0
253,1,29,2,-1.0,9999.0
254,1,29,3,-1.0,9999.0
255,1,29,4,-1.0,9999.0
256,1,29,5,-1.0,9999.0
257,1,29,6,-1.0,9999.0
258,1,29,7,-1.0,9999.0
259,1,29,8,-1.0,9999.0
260,1,29,9,-1.0,9999.0
261,1,30,1,-1.0,9999.0
262,1,30,2,-1.0,9999.0
263,1,30,3,-1.0,9999.0
264,1,30,4,-1.0,9999.0
265,1,30,5,-1.0,9999.0
266,1,30,6,-1.0,9999.0
267,1,30,7,-1.0,9999.0
268,1,30,8,-1.0,9999.0
269,1,30,9,-1.0,9999.0
270,2,1,1,-1.0,9999.0
271,2,1,2,-1.0,9999.0
272,2,1,3,-1.0,9999.0
273,2,1,4,-1.0,9999.0
274,2,1,5,-1.0,9999.0
275,2,1,6,-1.0,9999.0
276,2,1,7,-1.0,9999.0
277,2,1,8,-1.0,9999.0
278,2,1,9,-1.0,9999.0
279,2,2,1,-1.0,9999.0
280,2,2,2,-1.0,9999.0
281,2,2,3,-1.0,9999.0
282,2,2,4,-1.0,9999.0
283,2,2,5,-1.0,9999.0
